"accountingfirm","company_name","address","zip","phone","exec_first_name","exec_last_name","exec_title","author_first_name","author_last_name","author_phone","author_email"
"accountingfirm","ALTA BUSINESS & TAX SERVICE","5020 ALTA DR. #B","89107","702-877-0870","DANIEL","BOLES","MANAGER","DANIEL","BOLES","702-877-0870","ABS.LV@YAHOO.COM"
"accountingfirm","Ascend CPA's & Advisors","5215 S. Durango Road, Suite 3","89113","702-822-1777","Ron","Harris","Managing Memeber","David ","Chavez","702-523-2266","dchavez@ascendcpas.com"
"accountingfirm","Ascend CPAs & Advisors","5215 S. Durango Drive #3","89113","702-822-1777","Ron","Harris","Owner","Merina ","Berkey","702-822-1777","mberkey@ascendcpas.com"
"accountingfirm","Ascend CPAs & Business Advisors, LLC","5215 S. Durango Dr. #3","89113","702-822-1777","Ron","Harris","Partner","Ron","Harrid","702-822-1777","ron@ronvharriscpa.com"
"accountingfirm","Balance Your Books, LLC","PO Box 778362 Henderson NV","89077","702-370-0333","Jackie","Roeder","Owner","Jackie","Roeder","702-370-0333","balanceyourbooksllc@gmail.com"
"accountingfirm","Bradshaw, Smith & Co.,LLP","5851 W. Charleston Blvd.","89146","702-878-9788","Douglas","Winters","managing partner","Phyllis","Light","702-878-9788","plight@bradshawsmith.com"
"accountingfirm","Campbell Jones Cohen CPAs","7848 W. Sahara Ave.","89135","702-255-2330","Gary","Campbell","Shareholder","Myra","Rabanal","702-255-2330","myra@yournevadacpa.com"
"accountingfirm","Campbell, Jones & Co., CPAs, Ltd.","7848 W Sahara Ave.","89117","702-255-2330","Lisa M","Jones","Partner/Shareholder","Marti","Del Re","702-255-2330","marti@vegas-cpa.com"
"accountingfirm","De Joya Griffith & Company, LLC","2580 Anthem Village Drive","89052","702-563-1600","Jason","Griffith","Partner","Cinnamon","Cowles","702-563-1600","cinnamon@dejoyagriffith.com"
"accountingfirm","Deloitte","3883 Howard Hughes Parkway, Suite 400, Las Vegas","89169","702-893-3100","Chris ","Griffin","Las Vegas Office Managing Partner","Gouri","Yenupuri","702-893-4295","doromeo@deloitte.com"
"accountingfirm","Deloitte","3883 Howard Hughes Parkway, Suite 400, Las Vegas","89169-0924","702-893-3100","Larry","Krause","Las Vegas Office Managing Partner","Gouri","Yenupuri","","gyenupuri@deloitte.com"
"accountingfirm","Fair, Anderson & Langerman","3065 S. Jones Blvd., Suite 100","89146","702-870-7999","Curt ","Anderson","CEO, Managing Partner","Meghan","McLean","702-870-7999","meghan@falcpa.com"
